uuid|id|name|uuid_shop|
2cf36369-eb62-11ee-9154-7085c281e0ea|ЦБ-000304|Товары для Калужской|052c460c-d55f-11e9-90fb-7085c281e0ea|
0413bfc4-ee5c-11ee-9154-7085c281e0ea|ЦБ-000305|Склад Маркировка (Казань, Декабристов, 8)|96a1b993-c08a-11e7-7a69-971100038e88|
1f073e02-ee5c-11ee-9154-7085c281e0ea|ЦБ-000306|Склад Маркировка (Казань, Проспект Победы, 33)|513386ae-b62c-11e6-7a31-d0fd004a3a26|
27d94fc4-ee5d-11ee-9154-7085c281e0ea|ЦБ-000307|Склад Маркировка (Большая Дорогомиловская, 8)|82be1061-22a4-11eb-910f-7085c281e0ea|
41e3796e-ee5d-11ee-9154-7085c281e0ea|ЦБ-000308|Склад Маркировка (Интернет магазин)|5b391dde-14e0-11ea-9103-7085c281e0ea|
5c75c7d4-ee5d-11ee-9154-7085c281e0ea|ЦБ-000309|Склад Маркировка (Калужская, 1)|1de7e566-ea94-11ee-9154-7085c281e0ea|
773ea40e-ee5d-11ee-9154-7085c281e0ea|ЦБ-000310|Склад Маркировка (Москва, Долгоруковская, 40)|547b8208-c5c0-11e9-90f7-7085c281e0ea|
8ae4547d-ee5d-11ee-9154-7085c281e0ea|ЦБ-000311|Склад Маркировка (Москва, Новокузнецкая, 39)|26fa593e-4ef4-11ed-913f-7085c281e0ea|
9de34b02-ee5d-11ee-9154-7085c281e0ea|ЦБ-000312|Склад Маркировка (Москва, Петровский, 21)|1fd9acf0-2d43-11ee-914a-7085c281e0ea|
aa106d25-ee5d-11ee-9154-7085c281e0ea|ЦБ-000313|Склад Маркировка (Москва, Товарищеский, 1)|2210c829-4c48-11ec-911a-7085c281e0ea|
c31fb80f-ee5d-11ee-9154-7085c281e0ea|ЦБ-000314|Склад Маркировка (Спб, Фурштатская, 42)|68f5dbe7-5519-11eb-9111-7085c281e0ea|
88483dcc-f33d-11ee-9154-7085c281e0ea|ЦБ-000315|Склад Форма персонала (Казань, Декабристов, 8)|96a1b993-c08a-11e7-7a69-971100038e88|
ddd91f97-f33d-11ee-9154-7085c281e0ea|ЦБ-000316|Склад Форма персонала (Казань, Проспект Победы,33)|513386ae-b62c-11e6-7a31-d0fd004a3a26|
b246b420-f585-11ee-9154-7085c281e0ea|ЦБ-000317|Склад Форма персонала (Большая Дорогомиловская, 8)|82be1061-22a4-11eb-910f-7085c281e0ea|
cb26c65b-f585-11ee-9154-7085c281e0ea|ЦБ-000318|Склад Форма персонала (Москва, Калужская, 1)|1de7e566-ea94-11ee-9154-7085c281e0ea|
debc20c2-f585-11ee-9154-7085c281e0ea|ЦБ-000319|Склад Форма персонала (Москва, Долгоруковская, 40)|547b8208-c5c0-11e9-90f7-7085c281e0ea|
f15a796a-f585-11ee-9154-7085c281e0ea|ЦБ-000320|Склад Форма персонала (Москва, Новокузнецкая, 39)|26fa593e-4ef4-11ed-913f-7085c281e0ea|
fdfecad2-f585-11ee-9154-7085c281e0ea|ЦБ-000321|Склад Форма персонала (Москва, Петровский, 21)|1fd9acf0-2d43-11ee-914a-7085c281e0ea|
15bdc629-f586-11ee-9154-7085c281e0ea|ЦБ-000322|Склад Форма персонала (Москва, Товарищеский, 1)|2210c829-4c48-11ec-911a-7085c281e0ea|
263ad55e-f586-11ee-9154-7085c281e0ea|ЦБ-000323|Склад Форма персонала (Спб, Фурштатская, 42)|68f5dbe7-5519-11eb-9111-7085c281e0ea|
8724f6d4-f817-11ee-9155-7085c281e0ea|ЦБ-000324|Склад (Спб, Садовая, 42)|8724f6d3-f817-11ee-9155-7085c281e0ea|
8724f6d5-f817-11ee-9155-7085c281e0ea|ЦБ-000325|Зал продаж (Спб, Садовая, 42)|8724f6d3-f817-11ee-9155-7085c281e0ea|
5c0f73db-04aa-11ef-9155-7085c281e0ea|ЦБ-000326|Новая коллекция (Калужская, 1)|1de7e566-ea94-11ee-9154-7085c281e0ea|
8680b0bc-04aa-11ef-9155-7085c281e0ea|ЦБ-000327|Брак (Калужская, 1)|1de7e566-ea94-11ee-9154-7085c281e0ea|
98195c2b-04aa-11ef-9155-7085c281e0ea|ЦБ-000328|Ремонт (Калужская, 1)|1de7e566-ea94-11ee-9154-7085c281e0ea|
a7eb0de9-04aa-11ef-9155-7085c281e0ea|ЦБ-000329|Склад "Единички" (Калужская, 1)|1de7e566-ea94-11ee-9154-7085c281e0ea|
1a280fd5-04ab-11ef-9155-7085c281e0ea|ЦБ-000330|Склад "Недостачи" (Калужская, 1)|1de7e566-ea94-11ee-9154-7085c281e0ea|
46aaaf3e-04ab-11ef-9155-7085c281e0ea|ЦБ-000331|Стирка (Калужская, 1)|1de7e566-ea94-11ee-9154-7085c281e0ea|
